line_1,line_2,line_3,source
zen garden --,stirring a passing cloud,in my tea,tempslibre
mosquee blackout,I come home,with new slippers,tempslibre
fishing boats,colors of,the rainbow,tempslibre
ash wednesday--,trying to remember ,my dream,tempslibre
snowy morn--,pouring another cup,of black coffee,tempslibre
shortest day,flames dance,in the oven,tempslibre
haze,half the horse hidden,behind the house,tempslibre
low sun,the lady in red,on high heels,tempslibre
advent,the passing stranger,farts,tempslibre
tarn,a bubble in,the ice,tempslibre
snowflakes,new asphalt,in the holes,tempslibre
Crystal Night',   gusts of rain,      outside,tempslibre
rain,the sound of a horse galloping,through leaves,tempslibre
winter stars,suddenly a whiff,of perfume,tempslibre
hungry,half of the moon,hidden,tempslibre
rain,another leaf,down,tempslibre
sharia,the sound of one hand,clapping,tempslibre
the sound of geese,drowned by the sound of the train,this morning,tempslibre
autumn sun,my shadow over,tombstones,tempslibre
fly fishing;,the sound of the wind,in the reel,tempslibre
december,a long shadow,joins another,tempslibre
end of path,snowflakes melting,on the pond,tempslibre
morning frost,she leaves,first,tempslibre
evening walk,smell of tar between,pines,tempslibre
dachau,a blue sky above,the chimneys,tempslibre
Deep autumn;,The apple colder,In the tree.,tempslibre
visiting the graves,stronger the October wind,at my grandparents',tempslibre
over the hedge,a dragonfly,east,tempslibre
a bubble,bursts on surface,full moon,tempslibre
rain,the white lilac,low,tempslibre
my hand,    on her hip,         full moon,tempslibre
three petals fall,from the purple coneflower...,almost summer,tempslibre
instant message--,moon reveals more,of herself each night,tempslibre
Out of the well,By the bucket ,I hunt A moon,tempslibre
Out of the well,By the bucket I hunt,A moon,tempslibre
nude beach,a stranger covers me,with his shadow,tempslibre
garden wedding --,under the cherry blossoms,the bride's blush deepens,tempslibre
rainy New York,from the tenth storey window,black umbrellas bloom,tempslibre
drunk on the beach-,the moon in my sake cup,disappears,tempslibre
late winter -,opening the saijiki,to early spring,tempslibre
faintly purple,against the moon -,pines in the light,tempslibre
the last light of day ~,purple rhododendrons,dissolve in the dark,tempslibre
irises,bluer,in hers,tempslibre
wisteria -,blooming before,the end of rain,tempslibre
through lace ~,the tracery of frost,on glass,tempslibre
rain,falls from the trees,on the blue iris,tempslibre
winter beach -,three grey lines,"of sand, sea and sky",tempslibre
winter -,white peonies,in falling snow,tempslibre
midwinter,alone with a pile,of half-read books,tempslibre
home after dark,the familiar shapes,of shadows,tempslibre
turning off,my camera’s flash,the heron’s pose,tempslibre
frozen over—,this lake holding,his ashes,tempslibre
haiku walk,bringing home,some of the mud,tempslibre
afternoon sun,the husk of a fly,on an abandoned web,tempslibre
closed library,the summer sun slips,across the shelves,tempslibre
falling dusk,the eerie silence,of crows,tempslibre
long illness –,pink dogwood blooming,without me,tempslibre
lunch al fresco,leaving out a chair,for the sun ,tempslibre
the attention,his dog gets -,homeless man,tempslibre
remembering a song,from my childhood,plum blossoms,tempslibre
father’s pills,the palette of,autumn leaves,tempslibre
end of summer,our memories,in zip files,tempslibre
waking up,with freckles & curls,summer break,tempslibre
long night,on my window—a spider,climbing the moon,tempslibre
train window,the fingerprints,from past journeys,tempslibre
old love letter,the crinkled edges,of poppy petals,tempslibre
his scent gone,from every room,winter jasmine,tempslibre
overnight snow,his side of the bed,untouched,tempslibre
forest trail,running to the end,of my thoughts,tempslibre
learning to eat,around bruises,winter apples,tempslibre
winter night ,extending my word ,on scrabble,tempslibre
thumbing through,an old rolodex,winter light,tempslibre
dandelion field,my voice dissipates,in the wind,tempslibre
trailing behind,the other hikers,taste of dust,tempslibre
summer break,the sun scatters,my freckles,tempslibre
summer’s end,in a jar of shells,the smell of salt air,tempslibre
early morning dew,squeezing the last drop,from my teabag,tempslibre
spring fever,tree roots cracking,the concrete,tempslibre
tourist season,the zen garden,fills up with noise,tempslibre
unknotting,the phone cord,mother’s day,tempslibre
glowing embers,I start my story,from the end,tempslibre
learning to eat ,around bruises ,winter apples,tempslibre
office window,comings and goings,of butterflies,tempslibre
beach stroll,dipping our feet,in the stars,tempslibre
all day rain,lowering the blinds,in her dollhouse,tempslibre
late night stroll,through parted curtains,lives of others,tempslibre
dusting off,the piano keys,autumn wind,tempslibre
autumn rain,puddles fill up,with moonlight,tempslibre
mountain cave --,from out of darkness,the morning light,tempslibre
after its first flight,the young gerfalcon's talons,tighter on my glove,tempslibre
winter roses,I am tired of reading,between the lines,tempslibre
storm--,the monologue,of every tree,tempslibre
candle snuffer--,our eyes adjust,to the smoke wisp,tempslibre
the patter and hiss ,of gentle raining,--cloudlight ,tempslibre
lull--,reading into the braille ,of your goose bumps,tempslibre
afternoon malaise--,slant light ,at the oranges bowl,tempslibre
first day of school--,the house fills with the space ,between second hand ticks,tempslibre
downpour--,the dead animal smell,shifts toward memory,tempslibre
dusk--,the last whistle of something,as I turn on a reading light,tempslibre
airport window--,the cloud of my breath,as your plane reaches the clouds,tempslibre
midnight moon--,afraid,to turn another page,tempslibre
in the no-name vine,bluebirds,at the red berries,tempslibre
fresh snow--,the new neighbors,with all the porch lights on,tempslibre
night shift--,a quick break,to look at the stars...,tempslibre
freeze warning--,light from the arc welder,brightens the night,tempslibre
freeze warning--,the need to pee,once we hit traffic,tempslibre
freeze warning--,just enough change,for coffee,tempslibre
freeze warning---,from the end of the bar,she looks back,tempslibre
freeze warning--,a couple of homeless guys,feeding seagulls,tempslibre
dust--,distant thunder,moves on,tempslibre
porn shop--,each cock,stares at her,tempslibre
scrabble dictionary--,lighting one candle,from another,tempslibre
rusting nail--,the coffinmaker,talks of price,tempslibre
labor day-,i dust of,my resume,tempslibre
that fart,prayer fans,all sermon long,tempslibre
thaw--,a winter moth struggles,against a spider thread,tempslibre
skylight-,a contrail crosses,her line of coke,tempslibre
antique store-,the ocean loud,in a seashell,tempslibre
dusk--,songbirds' voices,disappear too,tempslibre
indian summer-,rouging her cheeks,as she waits for a drink,tempslibre
evening service --,light beams,into the night,tempslibre
food channel --,"between commercials,",dinner burns,tempslibre
autumn,along the highway,buzzards wait,tempslibre
queue for food --,the growling stomachs,break the silence,tempslibre
monsoon in Rawalpindi,meandering through the alley,colorful paper boats,tempslibre
late-night train,the mother's lullaby,for everyone,tempslibre
unfolding,the story of a migrant,sea water foam ,tempslibre
overloaded cart,in the donkey’s eyes,dusk deepens,tempslibre
dinner alone,the aroma of garam masala,mixed with fog,tempslibre
migraine—,the far side,of a full moon,tempslibre
rare family dinner,the taste of red chili,burns the silence,tempslibre
midnight terror,the radio frequency ,out of tune,tempslibre
picking beets—,the traces of winter,in my hands,tempslibre
chicken soup,with a dash of saffron,winter twilight,tempslibre
leftover milk,in the discarded bowl,day moon,tempslibre
monsoon rain,simmering down,the stew of dals,tempslibre
deepening,the river’s silence,hillside stars,tempslibre
the thud,of a fallen apple…,moving day,tempslibre
detention center –,the flute’s low notes,deepen the silence,tempslibre
late-night train,the mother's lullaby,for everyone,tempslibre
night train,unknotting,the dark thoughts,tempslibre
evening shadows…,the things we deny,become more visible,tempslibre
rain puddle . . .,a refugee child stirs,the cold moon,tempslibre
wildflowers,in each clay pot,abandoned family garden,tempslibre
cold winter —,another patch,in the old blanket,tempslibre
withered peony,her love story,after menopause,tempslibre
women’s day —,nothing has changed,except her Facebook status,tempslibre
climatic change —,under heavy snow,the refugee camp,tempslibre
jury duty,the clock pendulum goes,back and forth,tempslibre
summer breeze--,someone practices drums,in the valley,tempslibre
no rain--,the sound of crunched,grass,tempslibre
museum--,so hot the mummy,sweats,tempslibre
summer rain--,drops descend the lily,leaf by leaf,tempslibre
hail storm,the golfers run,for cover,tempslibre
night sax. . .,dreams in,B flat,tempslibre
I rescue,a mouse from the cat--,burnt steak,tempslibre
Memorial Day,an old couple rereads,the letter,tempslibre
Saturday night--,someone vomits beneath,the blossoms,tempslibre
evening rain—,buying cherry trees,online,tempslibre
mid April,the grass finally,looks like grass,tempslibre
noon sun--,someone playing scales,on a saxophone,tempslibre
shaving--,I share the mirror,with a spider,tempslibre
spring flies,buzz above my head--,E flat,tempslibre
starless sky—,dead batteries,in the flashlight,tempslibre
out of the fog—,a white barn with painted,butterflies,tempslibre
paint peels off,the old white house—,March thaw,tempslibre
same path,even in deep snow—,the blind horse,tempslibre
spring day,two hawks circle below,the contrails,tempslibre
spring rain,cars slowly leave,the cemetery,tempslibre
beautiful orange butterfly,lands on his shoulder~,oblivious,tempslibre
trembling,the hair ribbon falls,with inhibitions,tempslibre
waning moon . . .,the scent of autumn,in a tea cup,tempslibre
mint and marjoram ,this quiet path between fields ,once was a garden,tempslibre
sixty miles later,red leaves from my mum’s garden ,stuck to my windscreen,tempslibre
profound blue of night ,the resin and salt of pines,so far from the sea,tempslibre
scattered in the ditch ,like tiny scraps of blue sky,bits of plastic bag,tempslibre
japanese garden -,the pouring rain,on the stone buddha,tempslibre
spring sun -,the yellow house,just painted,tempslibre
leap year -,the old man's cane,also left its tracks,tempslibre
wild life -,a fly crosses,in front of the TV,tempslibre
traffic jam -,Moon passes through,the Earth's shadow,tempslibre
guest room -,the silence of the moon,at the window,tempslibre
sleepless night -,full moon has arrived,to other window,tempslibre
winter darkness -,last train runs,into the tunnel,tempslibre
winter day -,all those nude statues,in the park,tempslibre
winter blackout -,all the house,full of night,tempslibre
clear sky -,an old man sweeps,fallen leaves,tempslibre
tonight's quake -,trees without leaves,at sunshine,tempslibre
empty room -,the shadows of nails,on the walls,tempslibre
humid morning -,a bee floats,in the fountain,tempslibre
autumn flowers -,old men at the park,taking the sun,tempslibre
back to school -,the sun lights,the orange juice,tempslibre
distant hurricane -,in the middle of the rain,a phone rings,tempslibre
distant thunder -,a businessman talking ,on cell phone,tempslibre
spring rain -,between she and me,hundreds of drops,tempslibre
monday morning -,a white butterfly follows,the train line,tempslibre
after the quake,a leaf falls,on the patio,tempslibre
waiting for the bus,a street dog sniffs,my shadow,tempslibre
sound of the rain -,after a while,she calls my name,tempslibre
window pane -,at the end of my finger,the cold moon,tempslibre
spring break -,colorful tents,in the desert,tempslibre
long trip -,at the end of highway,the moon,tempslibre
cityscape -,the moon rises,from a chimney,tempslibre
waiting for the bus -,at the end of the street,sunset,tempslibre
warm winter day -,the smell of,a new book,tempslibre
factory wall -,the smell of,a new graffiti,tempslibre
half yellow moon -,workers talk about,tortillas,tempslibre
Valentine's day -,the heart balloon,don't enters the taxi,tempslibre
trash can -,flies,and shadows of flies,tempslibre
traffic jam -,women talk about men,in the radio,tempslibre
abandoned car -,accumulated leaves,on the windshield,tempslibre
sudden rain -,fallen candies,on the sidewalk,tempslibre
empty square -,no more,Christmas lights,tempslibre
new year light -,dust of one day,on the keyboard,tempslibre
cold rain -,thousands like me,going to work,tempslibre
monday dawn -,the silence,of traffic lights,tempslibre
first frost -,only two passengers,speak...,tempslibre
subway heat -,the breeze,of the arriving train ,tempslibre
traffic jam -,another star appears,in the sky,tempslibre
waiting for the bus -,my shadow,also changes postures,tempslibre
lightning at window -,the stopped train,in the storm,tempslibre
windless day -,a man whistling,on the street,tempslibre
traffic at night -,she talks about,cholesterol,tempslibre
night of stars -,moths circle,the street lamp,tempslibre
turn off the lights -,the night outside,and inside the room,tempslibre
autumn cleaning -,a desk drawer,full of dry pens,tempslibre
the taxi driver,tells me about his life -,autumn rain,tempslibre
pigeons on wires -,he tunes his guitar,beside a pole,tempslibre
night of stars -,a white ball floats,in the pool,tempslibre
cloudy day -,the horn,of a yellow cab,tempslibre
bus stop -,a woman's perfume,in the air,tempslibre
subway window -,she smiles at,my reflection,tempslibre
