line_1,line_2,line_3,source
early spring,a hint of green,in your eyes,herons_nest
new home,morning birdsong,in a different key,herons_nest
quilting squares...,the repeating patterns,of a life,herons_nest
putting away,my mother's letters,tulips in bloom,herons_nest
bullet train,just a glimpse,of the rice farmer,herons_nest
scented breeze,her life,in brush strokes,herons_nest
vacant lot—,purple thistle,reaches capacity,herons_nest
home town,the cab driver asks,where I'm from,herons_nest
chickadee...,the stream speaks,in its own words,herons_nest
sunrise,the river,changes key,herons_nest
mockingbird,this sense,of deja vu,herons_nest
triple pirouette,the ladybug's,fingertip flight check,herons_nest
sunlight,on a strand of gossamer...,how little it takes,herons_nest
never lacking,a firm hold,the inchworm,herons_nest
running barefoot,up the mountain,wild lupine,herons_nest
dusk,my shadow legs,growing,herons_nest
long day,the mountain's shadow,cools the mountain,herons_nest
the quiet,of her hands,clay shapes,herons_nest
lady-in-waiting,random doodling,becomes a rose,herons_nest
wild iris,the years before we knew her,as grandma,herons_nest
after the storm,a pale sky awash,with ibis wings,herons_nest
drowned moth—,I remember the rain,differently,herons_nest
lake cabin,the realtor mentions,the bald eagles,herons_nest
old growth,a forest within,city limits,herons_nest
canyon walls,the sheer softness,of water,herons_nest
the ring of hammers,on tent stakes...,jay-blue sky,herons_nest
faded plaids—,we make camp,in the map's crease,herons_nest
boom of thunder,a teacup paused,at my lips,herons_nest
dry stream bed—,the rippling,of sparrow song,herons_nest
heat advisory,a cicada molt,lands on its back,herons_nest
noonday heat,the dash-stop-dash,of a silverfish,herons_nest
sawtooth range,the jagged bites,of blue sky,herons_nest
nightfall,the browning palm frond,hangs loose,herons_nest
tasseled corn,the swish,of her dupatta,herons_nest
barefoot,after the rain,baby steps,herons_nest
open door,the fly makes,for a window,herons_nest
swatting,at mosquitoes,my neighbor waves back,herons_nest
describing a Joshua tree,I become,a Joshua tree,herons_nest
senior center,cactus starts emerge,from cracked tea cups,herons_nest
weathering of rocks,the promises we wrote,in stone,herons_nest
pier ruins,a pelican,on every post,herons_nest
summer heat—,a calf carries,the river home,herons_nest
park bench,a stranger,becomes someone,herons_nest
moonlit lake,your eyes,before the kiss,herons_nest
a billiard ball,jumps the table—,summer fling,herons_nest
alone on the pier,fishing,for her memory,herons_nest
waiting,tostopmissingthattree,hesaidwe'dnevermiss,herons_nest
crescent moon,the way the hammock,shapes her body,herons_nest
rut season ends,a bison wallow,gathers rainfall,herons_nest
pocket beach—,a storm-driven bottle,reaches the shore,herons_nest
smiled at,for next to nothing,waning crescent,herons_nest
wrapping the baby,in a shoulder sling,the shape of us,herons_nest
empty nest,the warp and weft,of marsh willow,herons_nest
kitchen sill,a tomato ripens,in rain-light,herons_nest
pocket notebook,an inky-cap mushroom,leaves its mark,herons_nest
courting platypus...,a slow eddy,coils the light,herons_nest
days of rain,the river's mouth wide open,for salmon,herons_nest
lonelybeach,yesterday's walk,stillthere,herons_nest
autumn drizzle—,a stack,of old business cards,herons_nest
crooked lintel,the magpie's cackle,along the weathered edge,herons_nest
inside the pile,of laughing children,fallen leaves,herons_nest
the pitcher shakes off,the catcher's sign,second summer,herons_nest
amber woods,the stream slowed,by fallen leaves,herons_nest
faded epitaphs,in an unkempt plot,blue asters,herons_nest
evening chill—,apple trees full,of constellations,herons_nest
the first time,they called me elderly,ripe persimmons,herons_nest
a bobcat,threading through the windbreak...,fallow farm,herons_nest
days shorten,your skeleton,starts to show,herons_nest
last rites,a copse passes into,leaflessness,herons_nest
the whole of history,in an appendix,autumn wind,herons_nest
beaver moon,a sheen of frost,on cedar shakes,herons_nest
autumn wind,the changing weather,of a starling cloud,herons_nest
winter solstice,she names her new doll,Wisteria,herons_nest
leaning more,on the walking stick,winter solstice,herons_nest
abandoning,propriety,year-end dawn,herons_nest
in the winter,of my life,fresh snow,herons_nest
orion overhead,i keep within,the speed limit,herons_nest
a coffee cup,mostly empty,winter sunset,herons_nest
only child,without a child,winter moon,herons_nest
singing softly,to herself,first juncos,herons_nest
molto mesto,the flutist takes,a deep breath,herons_nest
mid-winter bird song,a handwritten letter,in my mailbox,herons_nest
the sturdy heft,of binoculars,first bird count day,herons_nest
below freezing,my paper coffee cup,sleeveless,herons_nest
low winter sun,our fifty foot shadows,scissor the moor,herons_nest
false spring,the robin's egg blue,of fresh snow,herons_nest
brightness of stars,a wish to jump out,of my skin,herons_nest
cutting narcissus,we talk to our children,about the war,herons_nest
tilling away,the cricket song,red tractor,herons_nest
eating out of a pan,the soft drip,of rain,herons_nest
mountain stream,all the voices needed,to make one song,herons_nest
wild geese,kvetching across the sky,March bluster,herons_nest
equinox,one finch,tips the balance,herons_nest
sweetening,the rhubarb,Mother's Day,herons_nest
a bloodspot,in my egg,memorial sunrise,herons_nest
morning glory trumpet,the sexy parts,wet with dew,herons_nest
sagging trellis,the heavy fragrance,of honeysuckle,herons_nest
bare trees,outside my window,a one-bird band,herons_nest
outstretched hands...,snow falls softly,on windswept cedars,herons_nest
past sundown—,every moment,a deeper blue,herons_nest
wake,of a pintail,parting the stars,herons_nest
all night long,wandering around,your short-term memory,herons_nest
sledding on ice,the crisp edge,of a full moon,herons_nest
on the edge,of forgiveness,more snowfall,herons_nest
rime frost,packing the house,she left us,herons_nest
estate auction,someone's life goes,for a song,herons_nest
seventh month,whispering nongendered names,to her belly,herons_nest
a long draw,on reheated coffee,spring snow,herons_nest
pouring rain,every bucket has its own,hole in the roof,herons_nest
converging streams,a chickadee returns,my whistle,herons_nest
willowherb blooming,along the rail verge,morning haze,herons_nest
sunlit lichen,a mockingbird crests,the rock wall,herons_nest
a new belt,for grandma's old Singer,spring sunshine,herons_nest
vernal pools,pale-breasted swallows,dip into last light,herons_nest
summer solstice,in the forest,a circle of mushrooms,herons_nest
buttonbush swamp,bullfrogs bellowing,their summer song,herons_nest
Strawberry Moon,lightly coated,in smoke,herons_nest
village well—,filling up her empty pots,with gossip,herons_nest
summer willow,hours under,a spell,herons_nest
through the woods' winding,corridors...,veery song,herons_nest
evening river,the birdbox,still chirping,herons_nest
empty nest,ballooning spiders,caught by the breeze,herons_nest
bossa nova,a waft of lime,from his aftershave,herons_nest
the snail of me,into the snail of you,high summer,herons_nest
missing you—,slowly the ceiling fan,comes to a stop,herons_nest
my toes,find the impressions—,Dad's sandals,herons_nest
jerk chicken smoke,on the open grill...,ocean breeze,herons_nest
sunrise slides,across the valley,roosters one by one,herons_nest
heat wave...,the slow turning,of the cement mixer,herons_nest
the craic,of an aimless afternoon,lawn croquet,herons_nest
three-legged race,what we do,for love,herons_nest
beach walk—,behind my back,waves erase me,herons_nest
a wasp slips,through the bug screen...,summer heat,herons_nest
sea breeze,a peek of sky,between my toes,herons_nest
unbroken web,the fox den,she never came back to,herons_nest
torrid heat,horseflies on every cow,at the water tank,herons_nest
MilkyWay,myfirstmemory,our family's Dalmatian,herons_nest
feet in the stream,what i remember of,the mountain,herons_nest
dry lightning,the roadrunner's bill,full of scorpion,herons_nest
evening quiet,a spider webs,the garden gate,herons_nest
summer dusk,slowly the sun sets,the cornfield ablaze,herons_nest
tenth decade,he shows me,all the backroads,herons_nest
around,themountain,the path slows time,herons_nest
mountain shelter,drinking tea,amidst the spiders,herons_nest
night bird—,we startle,as one,herons_nest
Perseid shower,she leaves this world,on her own terms,herons_nest
Queen Anne's lace...,she dreams,her wedding,herons_nest
high grass,I keep her,dying secret,herons_nest
the graceful bow,of a worn coneflower,—goldfinch,herons_nest
sickle moon,windrows of alfalfa,ready to be rolled,herons_nest
end of summer,a cool breeze spins,the window fan,herons_nest
forsaken garden,a sagging gate,opens to memory,herons_nest
late summer heat...,a cow knee-deep,in the irrigation ditch,herons_nest
midlake,our kayaks pause,for conversation,herons_nest
late summer,dishes shift,in the drying rack,herons_nest
corn on the cob,imprinted on butter,summer's end,herons_nest
dawn light,lobster traps,stacked in the stern,herons_nest
morning glories,why not be,optimistic,herons_nest
