line_1,line_2,line_3,source
voicemail —,the immediacy,of winter rain,modern_haikus
wind chimes,the laughter of grandchildren,all moved away,modern_haikus
highschool,trophy case —,her maiden name,modern_haikus
holding our breaths,releasing them,humpbacks,modern_haikus
Groundhog Day,motorcyclists see,their shadows,modern_haikus
the fine art,of pillow talk,spring peepers,modern_haikus
laughing a little,as we make love,cherry blossoms,modern_haikus
ridgeline breeze,his hands tracing,the watershed,modern_haikus
his walking stick,when I need,to talk,modern_haikus
wedding day sky,I borrow,something blue,modern_haikus
unsaid words,the last wren,of the day,modern_haikus
so long,since I was a reptile,morning sun,modern_haikus
the ambulance,pulls away . . .,their immaculate lawn,modern_haikus
summer's end,a perfect little patch,of three-leaf clover,modern_haikus
synagogue,smarly dressed entering,through a metal detector,modern_haikus
licking peanut butter,from my fingers,mouse trap,modern_haikus
lukewarm soup —,pretending to like,my son's new boyfriend,modern_haikus
school recess,the excitement,around a mud puddle,modern_haikus
time to myself,at the stop light,check engine,modern_haikus
while away,their home was egged,cow bird,modern_haikus
never blooms,alone,dandelion,modern_haikus
first kiss,the carousel pony,starts with a jolt,modern_haikus
in the man-made pond,of a man-made park,clouds,modern_haikus
passing gas,what else is there,on the journey?,modern_haikus
new passport,my daughter checks,her height,modern_haikus
cruising,with the top down,dragonfly,modern_haikus
spanning the gap,between Dad and I,a string of trout,modern_haikus
palpitations,at last the swallowtail,settles somewhere,modern_haikus
not a creature stirring,Christmas,conspiracy theories,modern_haikus
graveside service,the eulogy quickens,with each raindrop,modern_haikus
old haunt,seeing her face,in the crowd,modern_haikus
Thanksgiving,the lone goldfish,circles its bowl,modern_haikus
on a horse,that never grew old,carousel,modern_haikus
uncut roses,uninstalling,Grammarly,modern_haikus
dogwood blossoms,he chambers a round,at the classroom door,modern_haikus
poolside,I cover up,my lack of tattoos,modern_haikus
not the answer,we hoped for,winter church bells,modern_haikus
controlled burn,the scars they said,would heal,modern_haikus
the narratives we weave,generations of leaves,on the forest floor,modern_haikus
thin skin bruises easily,old,banana,modern_haikus
5:00,what are the bullfrogs,drinking,modern_haikus
scent of lilac,finding her,own way home,modern_haikus
red leaves strewn,across wet asphalt —,my reckless youth,modern_haikus
crepe myrtyle,heavy with blooms,a friend's death,modern_haikus
christmas,all the colored lights,in the icu,modern_haikus
just about spring,feeling for the latch,under the hood,modern_haikus
reading obituaries,my wife and I,side by side,modern_haikus
early frost,the litter of kittens,down by two,modern_haikus
she nibbles the tip,of his ear,chocolate rabbit,modern_haikus
spring breeze,meeting her parents,at the grave,modern_haikus
new year calendar,compliments of,the funeral home,modern_haikus
walking the creek,barefoot for the first time,with my nieces,modern_haikus
bone moon,picking through,hand-me-downs,modern_haikus
Auschwitz tourists —,all day a loose button,on the ground,modern_haikus
the shadow,moving with all the others,a tree planted in her memory,modern_haikus
New Year's Eve,another line,on the Covid test,modern_haikus
crab apples,the way she hides,her bitter side,modern_haikus
beneath the nest,a fallen robin's egg,crawling with ants,modern_haikus
awaiting her while she dresses —,the yard bursting yellow,with daffodils,modern_haikus
old slave town,we put down,all our baggage,modern_haikus
plastic garden clogs,at the back door,in first position,modern_haikus
trial separation,a light-night rerun,of Mission Impossible,modern_haikus
early bulbs,such vibrant colours,she left us,modern_haikus
sisters,talking politics,red white and bruised,modern_haikus
all these years,still in her closet,dad's haiku,modern_haikus
rattling windows,the voice,within,modern_haikus
more than one language,the mountain,in view,modern_haikus
used bookstore,adding to the pile,of things I don't know,modern_haikus
frosting,her mother's,way through,modern_haikus
motel office,on the postcard,the pool has water,modern_haikus
wraparound porch,the sun climbs into a rocker,beside her,modern_haikus
pouring olive oil,into the sauté pan,my nightly enso,modern_haikus
